Indirizzo;Attiva;ZonaDec;Longitudine;Latitudine;Location
via Lampugnano 145;1;8;9.106251;45.49233;45.49233, 9.106251
via Messina 53;1;8;9.171371;45.488586;45.488586, 9.171371
via Monte Rosa;1;8;9.143842;45.478958;45.478958, 9.143842
via Ojetti 20;1;8;9.11317;45.494021;45.494021, 9.11317
via Quarenghi 12;1;8;9.119866;45.494715;45.494715, 9.119866
via Quarenghi 21;1;8;9.114964;45.496613;45.496613, 9.114964
via Satta Sebastiano 23;1;8;9.144992;45.518;45.518, 9.144992
via Val Trompia 45/a;1;8;9.134464;45.519328;45.519328, 9.134464
Via Concilio Vaticano II;1;8;9.14747;45.513008;45.513008, 9.14747
Piazza Cimitero Maggiore. 5;1;8;9.120755;45.501926;45.501926, 9.120755
Piazza Cimitero Maggiore. 18;1;8;9.122086;45.503475;45.503475, 9.122086
Via Castelvetro Ludovico. 33;1;8;9.1662025;45.4873354;45.4873354, 9.1662025
Mercato Via Fauchè;1;8;9.1642848;45.4856317;45.4856317, 9.1642848
Piazza Prealpi;1;8;9.1533279;45.4953679;45.4953679, 9.1533279
Via Villapizzone. 17;1;8;9.1467212;45.5013391;45.5013391, 9.1467212
Piazzale Carlo Magno;1;8;9.1559544;45.4811105;45.4811105, 9.1559544
Affori FN;1;9;9.167406;45.522834;45.522834, 9.167406
Centro Iseo - via Iseo 10;1;9;9.173648;45.520752;45.520752, 9.173648
Corso Ponale / Suzzani;1;9;9.207004;45.523093;45.523093, 9.207004
Giardini Sarca/Emanueli;1;9;9.209182;45.516021;45.516021, 9.209182
Giardini Via Gregorovius;1;9;9.196931;45.514504;45.514504, 9.196931
Largo Aldo De Benedetti 1;1;9;9.194352;45.485856;45.485856, 9.194352
Ospedale Maggiore 3;1;9;9.189571;45.509237;45.509237, 9.189571
Piazza Schiavone;1;9;9.164463;45.499812;45.499812, 9.164463
Piazza XXV aprile / corso Como;1;9;9.186918;45.48076;45.48076, 9.186918
Piazza XXV aprile 8;1;9;9.187853;45.480001;45.480001, 9.187853
Piazzale Egeo / Greco FS;1;9;9.214118;45.513172;45.513172, 9.214118
Piazzale Maciachini;1;9;9.184999;45.49779;45.49779, 9.184999
Piazzale Martiri della deportazione;1;9;9.180463;45.528488;45.528488, 9.180463
Piscina Scarioni;1;9;9.194511;45.510395;45.510395, 9.194511
Porta Garibaldi;1;9;9.187472;45.483464;45.483464, 9.187472
Stazione M3  Affori Centro;1;9;9.174196;45.513399;45.513399, 9.174196
Stazione M3 Comasina;1;9;9.161918;45.53175;45.53175, 9.161918
via Baldinucci 76;1;9;9.168962;45.503482;45.503482, 9.168962
via Bernardino da Novate 4;1;9;9.166295;45.525797;45.525797, 9.166295
via Bovisasca 173;1;9;9.155636;45.516865;45.516865, 9.155636
via Brivio Cesare 4;1;9;9.177311;45.5038;45.5038, 9.177311
via Ciriè 9;1;9;9.195619;45.511272;45.511272, 9.195619
via Gregorovius 15;1;9;9.199252;45.513771;45.513771, 9.199252
via Guerzoni Giuseppe 38;1;9;9.175696;45.50016;45.50016, 9.175696
via Livigno 3;1;9;9.178144;45.501515;45.501515, 9.178144
via Ornato (capolinea metrotramvia 4);1;9;9.192037;45.524832;45.524832, 9.192037
via Passerini 5/7;1;9;9.193203;45.515331;45.515331, 9.193203
via Paulucci De' Calboli 1;1;9;9.192344;45.515455;45.515455, 9.192344
via Pietro Borsieri 4;1;9;9.188611;45.486643;45.486643, 9.188611
via Pirelli 39;1;9;9.195246;45.484336;45.484336, 9.195246
via privata Catone 24;1;9;9.170811;45.498634;45.498634, 9.170811
via Raffaello Giolli 29;1;9;9.210533;45.526874;45.526874, 9.210533
via Sant'Arnaldo 17;1;9;9.176758;45.525393;45.525393, 9.176758
via Val di Bondo 13;1;9;9.161071;45.525349;45.525349, 9.161071
via Volturno 32;1;9;9.191356;45.487309;45.487309, 9.191356
via Zubiani 1;1;9;9.184938;45.507326;45.507326, 9.184938
viale Luigi Sturzo 49;1;9;9.185682;45.484202;45.484202, 9.185682
viale Monte Grappa 8;1;9;9.190949;45.480642;45.480642, 9.190949
Villa Litta;1;9;9.168393;45.516914;45.516914, 9.168393
Parco Trevi;1;9;9.180091;45.507565;45.507565, 9.180091
Piazzale Lugano;1;9;9.165001;45.497368;45.497368, 9.165001
via Siro Capsoni 6/via Acerbi;1;9;9.173584;45.527742;45.527742, 9.173584
Corso Como.11;1;9;9.1873491;45.4822694;45.4822694, 9.1873491
Mercato Via Garigliano;1;9;9.1892481;45.487813;45.487813, 9.1892481
Via Bignami;1;9;9.2132807;45.5261337;45.5261337, 9.2132807
Via Ippocrate;1;9;9.1646576;45.5213004;45.5213004, 9.1646576
Viale Giovanni Suzzani. 270;1;9;9.208864;45.5259808;45.5259808, 9.208864
Via Graziano Imperatore. 40;1;9;9.1913285;45.5134804;45.5134804, 9.1913285
Via Veglia;1;9;9.1950949;45.5000127;45.5000127, 9.1950949
